hotel,is_canceled,lead_time,arrival_date_month,arrival_date_day_of_month,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,city,temperature_2m_mean,rain_sum,people,same_room,total_stays
Resort Hotel - Chandigarh,0,342,July,27,BB,PRT,Direct,Direct,0,0,0,3,No Deposit,0.0,0,Transient,0.0,0,0,Chandigarh,31.449999,3.2999997,2.0,Yes,0
Resort Hotel - Mumbai,0,737,April,28,BB,PRT,Direct,Direct,0,0,0,4,No Deposit,0.0,0,Transient,0.0,0,0,Mumbai,33.218746,0.0,2.0,Yes,0
Resort Hotel - Delhi,0,7,September,10,BB,GBR,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,75.0,0,0,Delhi,27.170832,9.6,1.0,No,1
Resort Hotel - Kolkata,0,13,August,14,BB,GBR,Corporate,Corporate,0,0,0,0,No Deposit,Other,0,Transient,75.0,0,0,Kolkata,28.13125,39.999996,1.0,Yes,1
Resort Hotel - Lucknow,0,14,September,14,BB,GBR,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,98.0,0,1,Lucknow,26.945833,0.1,2.0,Yes,2
Resort Hotel - Delhi,0,14,October,23,BB,GBR,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,98.0,0,1,Delhi,25.889585,0.0,2.0,Yes,2
Resort Hotel - Indore,0,0,January,7,BB,PRT,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,107.0,0,0,Indore,17.225,7.3999996,2.0,Yes,2
Resort Hotel - Ahmedabad,0,9,August,8,FB,PRT,Direct,Direct,0,0,0,0,No Deposit,Other,0,Transient,103.0,0,1,Ahmedabad,27.347916,3.3,2.0,Yes,2
Resort Hotel - Delhi,1,85,August,25,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,82.0,0,1,Delhi,28.983332,2.2,2.0,Yes,3
Resort Hotel - Pune,1,75,December,18,HB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,15.0,0,Transient,105.5,0,0,Pune,20.383335,0.0,2.0,Yes,3
Resort Hotel - Chennai,1,23,August,24,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,123.0,0,0,Chennai,30.375006,0.2,2.0,Yes,4
Resort Hotel - Chennai,0,35,March,27,HB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,145.0,0,0,Chennai,28.3125,0.0,2.0,Yes,4
